week,weekorder,date,ReportingLaboratory,test_sarscov2,pos_sarscov2,test_flu,pos_flu,pos_flua_h1,pos_flua_h3,pos_flua_uns,pos_flua,pos_flub,test_rsv,pos_rsv,test_hpiv,pos_hpiv_1,pos_hpiv_2,pos_hpiv_3,pos_hpiv_4,pos_hpiv_other,test_adv,pos_adv,test_hmpv,pos_hmpv,test_evrv,pos_evrv,test_hcov,pos_hcov
37,3,2024-09-14,Montréal-Laval,2146.0,405.0,1564.0,4.0,0.0,0.0,4.0,4.0,0.0,1381.0,28.0,821.0,8.0,6.0,4.0,1.0,0.0,821.0,4.0,821.0,0.0,852.0,93.0,821.0,9.0
37,3,2024-09-14,Ouest du Québec,1590.0,406.0,770.0,4.0,0.0,0.0,3.0,3.0,1.0,770.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,18.0,0.0,18.0,7.0,18.0,1.0
37,3,2024-09-14,Montérégie,1559.0,372.0,1265.0,0.0,0.0,0.0,0.0,0.0,0.0,1265.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,9.0,0.0,2.0,0.0
37,3,2024-09-14,Quebec,11088.0,2496.0,6977.0,11.0,0.0,0.0,8.0,8.0,3.0,5761.0,75.0,1587.0,9.0,8.0,4.0,2.0,0.0,1601.0,17.0,1579.0,1.0,1650.0,250.0,1534.0,23.0
37,3,2024-09-14,PHOL - Ottawa,196.0,85.0,116.0,1.0,0.0,1.0,0.0,1.0,0.0,116.0,0.0,79.0,0.0,0.0,0.0,0.0,6.0,79.0,0.0,79.0,0.0,79.0,6.0,79.0,0.0
37,3,2024-09-14,EORLA,777.0,93.0,469.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,7.0,39.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,0.0,39.0,6.0,39.0,0.0
37,3,2024-09-14,PHOL - Kingston,217.0,86.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,0.0,64.0,20.0,64.0,0.0
37,3,2024-09-14,PHOL - Peterborough,48.0,19.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,2.0,52.0,0.0,0.0,0.0,0.0,1.0,52.0,0.0,52.0,0.0,52.0,5.0,52.0,0.0
37,3,2024-09-14,PHOL - Toronto,671.0,228.0,822.0,2.0,3.0,4.0,0.0,2.0,0.0,822.0,0.0,710.0,0.0,0.0,0.0,0.0,19.0,710.0,4.0,710.0,1.0,710.0,95.0,710.0,6.0
37,3,2024-09-14,UHN / Mount Sinai Hospital,896.0,84.0,761.0,1.0,0.0,0.0,1.0,1.0,0.0,761.0,1.0,68.0,1.0,1.0,1.0,0.0,0.0,68.0,0.0,68.0,0.0,68.0,4.0,68.0,0.0
37,3,2024-09-14,Sick Kids Hospital - Toronto,169.0,13.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,1.0,159.0,1.0,2.0,0.0,0.0,0.0,159.0,1.0,159.0,0.0,159.0,38.0,159.0,0.0
37,3,2024-09-14,Shared Hospital Laboratory,1293.0,148.0,976.0,6.0,4.0,1.0,1.0,6.0,0.0,977.0,8.0,953.0,0.0,0.0,0.0,0.0,9.0,953.0,3.0,976.0,1.0,976.0,68.0,976.0,1.0
37,3,2024-09-14,PHOL - Hamilton,123.0,53.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,93.0,0.0,0.0,0.0,0.0,5.0,93.0,0.0,93.0,1.0,93.0,11.0,93.0,0.0
37,3,2024-09-14,St. Joseph's - Hamilton,1526.0,176.0,1383.0,8.0,0.0,0.0,8.0,8.0,0.0,1383.0,6.0,1383.0,0.0,0.0,0.0,0.0,0.0,1383.0,5.0,1383.0,2.0,1383.0,121.0,0.0,0.0
37,3,2024-09-14,PHOL - London,400.0,165.0,397.0,0.0,0.0,1.0,0.0,0.0,0.0,397.0,0.0,330.0,0.0,0.0,0.0,0.0,4.0,330.0,3.0,330.0,0.0,330.0,28.0,330.0,1.0
37,3,2024-09-14,St. Joseph's - London,577.0,98.0,56.0,1.0,0.0,0.0,1.0,1.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,56.0,1.0,56.0,1.0,56.0,6.0,46.0,1.0
